,Company Name,Salary_USD,Rating
666,Amazon Robotics,19269,4.0
667,Amazun,12043,4.0
668,Ambernet Technologies,3613,2.4
669,Ambiguous Solutions,4914,4.6
670,Ambit Software,8430,2.8
671,Amboseli Professional Associates,7226,4.3
672,Amdocs,8523,3.9
673,Amdocs Development Centre India,6950,4.0
674,Ameer Technology,4817,3.5
675,Ameex,9152,4.1
676,Amelia,14050,4.4
677,American Airlines,8045,3.9
678,American Automobile Association (AAA),14451,3.6
679,American Bureau of Shipping (ABS),12043,3.7
680,American Express,12841,4.2
681,American Hole ‘n One,8430,3.4
682,American Megatrends India,6022,3.6
683,American Red Cross,3637,3.5
684,American Signature Furniture,4817,4.0
685,Ameriprise,7226,3.8
686,Amerisoft Solution India,2601,4.0
687,AmerisourceBergen,7226,3.8
688,Ameyo,4817,3.9
689,Amigos Software solutions,3613,4.8
690,Amit Kumar Choudhary,7226,4.2
691,Amit kumar,1204,4.0
692,Amiti Software Technologies,2457,4.2
693,Amity,2409,3.8
694,Amity Software Systems,10839,4.0
695,Amity University,13248,3.6
696,Amli Network,19269,4.5
697,Ampcome,4817,4.0
698,AmpleLogic,3613,3.8
699,Amplifi,2168,3.1
700,Amplus,1445,3.7
701,Ampsys Consulting,2023,4.2
702,Amrita University,6720,3.95
703,Amruth Caterers,12043,5.0
704,Amsoft Global,4191,4.7
705,Amtech Solutions,6022,3.0
706,Amtex Systems,9635,4.2
707,Amura Marketing Technologies,9635,4.2
708,Amway,8430,4.0
709,Amylogic,10839,4.3
710,Amzur Technologies,2457,4.4
711,Anaadih Softech,4625,1.0
712,Anacapa Concrete,5925,4.4
713,Anaconda,15656,4.3
714,Anagha Engineers,3613,3.0
715,Anaha Healthtech,8430,5.0
716,Anaheim Ducks,9635,4.3
717,Analog Devices,11642,4.0
718,Analogics Tech,6022,3.3
719,Analogue IT Solutions,3613,3.9
720,Analysts,9635,4.1
721,Analytics Domain,8527,5.0
722,Analytics Vidhya,7226,3.9
723,Anand Rathi,6840,3.7000000000000006
724,Ananta Resource Management,7226,3.9
725,Ananth Technologies,9635,3.4
726,Ananya,3757,4.0
727,Ananya Technologies,9635,4.5
728,Anarock,26495,3.8
729,Anawall Labs,4191,4.0
730,Anblicks,6070,4.2
731,Ancdfan,4817,4.1
732,Ancestry,4817,3.7
733,Anchanto,8028,3.7999999999999994
734,Andhra Pradesh State Skill Development,3613,3.5
735,AndoSisto,6022,5.0
736,Andritz,7226,3.8
737,Android,7105,4.15
738,Android Developer,4927,4.0
739,Android Developers,3468,3.4
740,Android de México,2746,4.1
741,Angel One,20473,4.2
742,Angietech Solutions,3613,4.0
743,Angika Technologies,3613,4.3
744,Ango Health,4047,5.0
745,Angular Tecnologias,1734,4.3
746,Anika Therapeutics,6022,3.6
747,Animaker,7226,3.7
748,Aniruddha Telemetry Systems,10839,2.2
749,Anisha Infotech,2312,3.7
750,Anji Technologies,22882,3.8
751,Anjuman ITI pvt society's,2023,3.95
752,Ankit Mittal,10839,4.0
753,Ankit kumar soni,8238,3.9
754,Ankit singh,7226,3.95
755,Ankita Enterprises,12043,3.8
756,Anko,1445,3.7
757,Ankur Seeds,4817,3.9
758,Anlage HRO Services,16860,4.3
759,Ann Summers,6022,3.4
760,Ann Taylor,4817,3.5
761,Anna IT Services,6022,4.0
762,Anna University,8430,3.8
763,Anna's Linens,1221,3.9
764,Anne Arundel Community College,2746,4.2
765,Annona,1204,3.5
766,Annononomius,4817,3.9
767,Anonomatic,12043,2.0
768,Anonymous,7998,3.777272727272727
769,Anonymous (India),14452,3.7
770,Anonymous Alerts,7402,3.4
771,Anonymous Content,6329,3.8
772,Anonymous Employee,7587,3.2
773,Anonymous LA,4817,4.1
774,Anonymus,1204,4.0
775,Anoop Mishra,4817,4.0
776,Ansh Labs,6022,3.2
777,Ansh Systems,6022,3.8
778,Ansys,11737,4.2
779,AntStack,4817,4.8
780,AntWak,4914,4.4
781,AntWorks,5058,3.2
782,Antal International,3613,3.8
783,Antares Systems,12862,3.6
784,Anthology Inc.,6022,3.6
785,Anthropologie,2457,3.8
786,AntiKythera IT Services,3613,3.9
787,Antino Labs,3103,4.5
788,Antinomy Designs,1301,4.4
789,Antly,10839,4.5
790,Antonyan Miranda,2409,4.5
791,Antuit,9635,4.0
792,Antza Technologies,6359,3.9
793,Anuj,10839,4.0
794,Anurag Tiwari,4047,4.1
795,Anutham Technologies,4817,4.0
796,Anvation Labs,2890,4.5
797,Anveshak Technology and Knowledge Solutions,2168,3.0
798,Anveshan,1012,4.0
799,Anveta,3613,3.8
800,AnviTechSys,2890,4.0
801,AnyNews App,4817,4.0
802,AnyVan,4817,4.0
803,Anya IT Systems,1590,2.7
804,Anyon Conseil,19269,5.0
805,Anyonyam Consulting Services,6022,5.0
