id,total,to_distribute,n_elements,std_div_mod,len_votes,mean_dev
5349, 35.0, 35, 612.0, 16.8732, 4, 0.0025
5350, 35.0, 35, 605.0, 16.7667, 4, 0.0014
5351, 35.0, 35, 615.0, 17.0962, 4, 0.0022
5352, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5353, 34.0, 35, 607.0, 16.7777822, 4, 0.0012
5354, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5355, 35.0, 35, 613.0, 16.9893, 4, 0.0029
5356, 35.0, 35, 614.0, 16.9829, 4, 0.0016
5357, 35.0, 35, 610.0, 16.8718, 4, 0.0016
5358, 35.0, 35, 618.0, 17.1084, 4, 0.0016
5359, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5360, 35.0, 35, 610.0, 16.9936, 4, 0.0012
5361, 34.0, 35, 608.0, 16.7777822, 4, 0.0016
5362, 35.0, 35, 615.0, 16.9906, 4, 0.002
5363, 34.0, 35, 609.0, 16.7777832, 4, 0.0023
5364, 35.0, 35, 607.0, 16.772, 4, 0.0021
5365, 35.0, 35, 612.0, 17.1007, 4, 0.0025
5366, 35.0, 35, 607.0, 16.772, 4, 0.0021
5367, 35.0, 35, 614.0, 17.1054, 4, 0.002
5368, 35.0, 35, 615.0, 17.0962, 4, 0.0014
5369, 35.0, 35, 611.0, 16.7746, 4, 0.0037
5370, 35.0, 35, 607.0, 16.8758, 4, 0.0014
5371, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5372, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5373, 35.0, 35, 614.0, 16.9829, 4, 0.0016
5374, 35.0, 35, 607.0, 16.772, 4, 0.0021
5375, 34.0, 35, 608.0, 16.7777822, 4, 0.0016
5376, 35.0, 35, 605.0, 16.7667, 4, 0.0014
5377, 34.0, 35, 615.0, 17.0000043, 4, 0.0012
5378, 34.0, 35, 608.0, 16.7777822, 4, 0.0016
5379, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5380, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5381, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5382, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5383, 35.0, 35, 611.0, 16.9846, 4, 0.0014
5384, 35.0, 35, 614.0, 17.1054, 4, 0.0029
5385, 35.0, 35, 613.0, 16.9893, 4, 0.002
5386, 35.0, 35, 607.0, 16.772, 4, 0.0021
5387, 34.0, 35, 612.0, 16.8888942, 4, 0.0016
5388, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5389, 34.0, 35, 614.0, 17.0000042, 4, 0.0008
5390, 35.0, 35, 613.0, 16.9893, 4, 0.0012
5391, 34.0, 35, 613.0, 16.8888932, 4, 0.0022
5392, 35.0, 35, 615.0, 17.0962, 4, 0.003
5393, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5394, 35.0, 35, 614.0, 17.1054, 4, 0.002
5395, 35.0, 35, 613.0, 17.0943, 4, 0.0018
5396, 34.0, 35, 608.0, 16.7777822, 4, 0.0016
5397, 35.0, 35, 614.0, 16.9829, 4, 0.0033
5398, 34.0, 35, 609.0, 16.7777832, 4, 0.0021
5399, 35.0, 35, 616.0, 17.1072, 4, 0.0024
5400, 34.0, 35, 619.0, 17.1111163, 4, 0.0012
5401, 35.0, 35, 610.0, 16.8718, 4, 0.0016
5402, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5403, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5404, 35.0, 35, 610.0, 16.8718, 4, 0.0025
5405, 35.0, 35, 610.0, 16.7674, 4, 0.0033
5406, 35.0, 35, 612.0, 16.9957, 4, 0.0025
5407, 35.0, 35, 610.0, 16.9936, 4, 0.002
5408, 35.0, 35, 603.0, 16.7642, 4, 0.0006
5409, 35.0, 35, 610.0, 16.9936, 4, 0.002
5410, 33.0, 35, 606.0, 16.7777832, 4, 0.0012
5411, 35.0, 35, 610.0, 16.8718, 4, 0.0016
5412, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5413, 35.0, 35, 613.0, 17.0943, 4, 0.0018
5414, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5415, 35.0, 35, 616.0, 17.1072, 4, 0.0016
5416, 35.0, 35, 607.0, 16.772, 4, 0.0021
5417, 34.0, 35, 602.0, 16.6666711, 4, 0.0008
